iter	RMSE
406	78098.19764
407	78082.76293
408	78044.85964
409	78038.85258
410	78003.43695
411	77985.67899
412	77957.89658
413	77943.22724
414	77909.8004
415	77894.01983
416	77875.71289
417	77824.96749
418	77820.30586
419	77811.55798
420	77799.80331
421	77776.79985
422	77753.28919
423	77731.19242
424	77713.81215
425	77705.35831
426	77675.04961
427	77656.76832
428	77633.09705
429	77619.64495
430	77597.46539
431	77585.03719
432	77581.8619
433	77562.68614
434	77550.47371
435	77543.17644
436	77528.24551
437	77509.06748
438	77485.16976
439	77480.79443
440	77444.85391
441	77435.18724
442	77407.92732
443	77388.69679
444	77374.84951
445	77357.43739
446	77337.67562
447	77312.06751
448	77285.19459
449	77263.47266
450	77248.47353
451	77241.46009
452	77211.59335
453	77190.66397
454	77168.01806
455	77143.60402
456	77134.10552
457	77102.426
458	77078.71084
459	77044.28174
460	77033.67132
461	77016.35698
462	76993.99793
463	76970.22397
464	76945.45607
465	76929.8355
466	76909.52171
467	76904.38771
468	76873.67224
469	76868.08089
470	76864.59103
471	76839.66697
472	76810.20048
473	76805.1233
474	76787.04204
475	76780.5376
476	76752.65496
477	76745.34796
478	76715.80883
479	76703.59268
480	76681.92646
481	76674.98182
482	76642.84152
483	76633.47136
484	76608.2748
485	76588.90816
486	76568.99022
487	76550.63329
488	76515.06721
489	76496.93457
490	76467.17934
491	76440.64879
492	76432.39481
493	76415.05288
494	76413.15314
495	76393.58735
496	76363.67238
497	76335.07856
498	76287.46144
499	76284.16452
500	76265.3391
501	76241.34825
502	76215.51887
503	76164.33592
504	76128.13401
505	76089.55573
506	76068.40621
507	76028.2976
508	76017.25493
509	75995.11209
510	75951.88428
511	75935.41104
512	75923.75702
513	75899.19765
514	75884.13237
515	75854.78003
516	75847.78678
517	75833.19407
518	75822.22029
519	75801.51656
520	75768.84595
521	75761.9536
522	75730.48459
523	75722.89549
524	75701.8825
525	75681.37768
526	75676.68691
527	75657.19025
528	75630.03558
529	75610.32955
530	75588.65794
531	75552.13149
532	75549.65062
533	75526.31419
534	75498.09994
535	75493.63206
536	75474.84288
537	75459.8717
538	75444.54477
539	75427.09405
540	75417.06688
541	75399.82279
542	75392.86564
543	75368.74543
544	75350.49746
545	75330.80696
546	75311.32943
547	75287.74874
548	75272.16784
549	75256.55539
550	75234.1994
551	75208.01959
552	75195.56504
553	75169.44012
554	75153.53306
555	75121.85804
556	75093.80603
557	75070.3852
558	75056.61758
559	75035.557
560	75022.96733
561	74991.63845
562	74974.62664
563	74956.80497
564	74937.16316
565	74929.84191
566	74915.43741
567	74893.84148
568	74868.68828
569	74855.87245
570	74852.73506
571	74839.18139
572	74833.48147
573	74811.12815
574	74794.76829
575	74794.6277
576	74784.38205
577	74764.9651
578	74760.65583
579	74734.75399
580	74718.68352
581	74702.5593
582	74690.24212
583	74666.09904
584	74642.99377
585	74620.62547
586	74610.58637
587	74605.90423
588	74592.47431
589	74568.74702
590	74548.86384
591	74531.32621
592	74516.58338
593	74510.80403
594	74509.24664
595	74478.99661
596	74452.99689
597	74452.87762
598	74448.74535
599	74433.73328
600	74389.95483
601	74364.86483
602	74336.30717
603	74320.74258
604	74300.06472
605	74285.33042
606	74262.37938
607	74249.90363
608	74230.56871
609	74208.90546
610	74189.83005
611	74185.20759
612	74172.35039
613	74157.18684
614	74135.15107
615	74128.81342
616	74111.33117
617	74103.1486
618	74079.97242
619	74077.50915
620	74075.79968
621	74050.17659
622	74018.11089
623	73989.83692
624	73972.39703
625	73953.68908
626	73946.58386
627	73930.48046
628	73908.89949
629	73885.78469
630	73873.74578
631	73865.12312
632	73848.63479
633	73831.12241
634	73817.44295
635	73807.76401
636	73797.14357
637	73789.31477
638	73771.55333
639	73748.10035
640	73726.47254
641	73714.91958
642	73697.67274
643	73690.91095
644	73673.0954
645	73652.86619
646	73640.98936
647	73623.85575
648	73609.27054
649	73605.21783
650	73587.48456
651	73557.33535
652	73536.58143
653	73514.16708
654	73498.80405
655	73476.77517
656	73450.99429
657	73428.10062
658	73414.93329
659	73387.50384
660	73372.09634
661	73351.40076
662	73342.61182
663	73321.50887
664	73305.29357
665	73291.79858
666	73267.99901
667	73257.28201
668	73253.60199
669	73251.23294
670	73237.66526
671	73228.61412
672	73217.37258
673	73212.66642
674	73210.47779
675	73197.99944
676	73192.30495
677	73177.81262
678	73163.40165
679	73141.71251
680	73111.46737
681	73092.12253
682	73064.10318
683	73055.86554
684	73047.70372
685	73026.94777
686	73011.23294
687	73005.26617
688	72983.18804
689	72970.17285
690	72964.38034
691	72952.57761
692	72944.82178
693	72927.71597
694	72921.5319
695	72907.24891
696	72887.09484
697	72872.73748
698	72855.9503
699	72837.68682
700	72802.27621
701	72797.16782
702	72779.14
703	72756.99036
704	72742.18915
705	72733.88518
706	72724.60656
707	72717.18829
708	72706.15491
709	72689.32192
710	72683.12784
711	72661.93032
712	72638.66623
713	72618.5365
714	72601.80025
715	72598.26588
716	72579.58525
717	72573.68808
718	72558.11417
719	72536.76806
720	72521.42382
721	72509.20276
722	72501.8757
723	72499.88211
724	72492.30109
725	72476.01997
726	72463.25366
727	72461.12061
728	72455.03635
729	72443.17849
730	72433.09165
731	72415.94665
732	72379.61289
733	72365.60711
734	72343.50197
735	72330.67116
736	72310.58554
737	72302.45693
738	72300.44731
739	72296.30578
740	72282.53606
741	72261.19562
742	72248.32641
743	72229.22411
744	72208.90113
745	72188.71102
746	72182.84351
747	72164.32878
748	72153.45897
749	72151.3699
750	72135.64164
751	72124.80799
752	72099.10739
753	72092.55665
754	72078.11635
755	72065.79685
756	72061.18562
757	72042.12802
758	72013.80544
759	71987.01992
760	71970.1212
761	71968.74624
762	71956.70236
763	71940.94937
764	71921.70827
765	71910.65092
766	71902.45477
767	71897.02513
768	71879.39086
769	71871.86162
770	71857.81523
771	71839.69085
772	71832.41092
773	71811.95016
774	71782.7823
775	71767.7226
776	71748.76608
777	71731.44368
778	71723.17263
779	71706.32708
780	71692.57548
781	71674.11885
782	71667.02089
783	71650.3836
784	71644.62334
785	71619.39383
786	71596.78409
787	71584.62719
788	71557.42708
789	71550.45805
790	71518.1579
791	71502.64285
792	71488.56706
793	71482.5278
794	71466.88369
795	71458.79047
796	71441.76868
797	71430.18605
798	71424.90138
799	71399.21888
800	71373.78914
801	71348.14063
802	71328.95125
803	71319.43405
804	71300.28264
805	71288.19379
806	71264.51739
807	71243.37409
808	71232.41139
809	71212.19996
810	71202.24358
811	71199.70352
812	71195.89598
813	71176.53593
814	71159.55715
815	71145.57197
816	71121.00775
817	71107.42394
818	71102.68829
819	71086.47424
820	71072.3584
821	71054.03606
822	71034.89499
823	71022.1221
824	71008.41794
825	71004.19363
826	70991.83612
827	70978.67429
828	70967.21451
829	70955.28393
830	70932.28551
831	70920.63761
832	70898.1698
833	70880.04311
834	70858.36437
835	70843.53203
836	70831.3387
837	70816.69871
838	70802.07604
839	70792.43371
840	70778.1372
841	70758.43285
842	70741.12814
843	70724.73393
844	70711.51003
845	70693.42094
846	70678.37866
847	70666.22584
848	70643.25513
849	70637.90197
850	70628.6606
851	70612.40309
852	70597.02541
853	70577.66387
854	70569.86839
855	70558.64766
856	70545.72769
857	70531.73161
858	70508.56855
859	70487.57664
860	70479.79745
861	70463.66105
862	70440.88543
863	70430.05903
864	70419.75847
865	70406.68723
866	70396.28569
867	70381.65469
868	70369.12214
869	70362.76833
870	70351.41288
871	70346.1021
872	70328.9279
873	70315.71423
874	70300.57273
875	70293.15801
876	70280.44927
877	70263.08717
878	70258.91652
879	70254.05109
880	70235.67142
881	70217.06766
882	70200.01319
883	70191.67174
884	70176.13831
885	70159.81307
886	70156.75961
887	70155.14347
888	70142.7743
889	70126.12272
890	70116.29645
891	70099.90592
892	70086.62041
893	70070.25118
894	70057.6449
895	70050.82435
896	70038.77374
897	70025.56972
898	70016.44362
899	69994.73064
900	69976.27651
901	69965.49906
902	69941.86718
903	69921.20561
904	69911.98879
905	69903.28498
906	69887.61695
907	69872.82517
908	69870.68535
909	69839.15125
910	69819.03215
911	69799.51802
912	69785.43069
913	69780.16012
914	69765.77685
915	69755.15504
916	69737.80079
917	69726.77871
918	69709.30439
919	69698.28854
920	69693.25181
921	69684.63148
922	69670.26322
923	69657.20222
924	69645.89644
925	69619.95272
926	69612.06143
927	69594.36193
928	69582.27658
929	69578.54486
930	69562.95403
931	69554.11755
932	69552.48738
933	69532.99139
934	69518.46863
935	69507.32484
936	69495.56019
937	69487.24814
938	69478.584
939	69457.2924
940	69439.84443
941	69431.09444
942	69420.07163
943	69395.26954
944	69393.60185
945	69379.45184
946	69371.33758
947	69354.55226
948	69338.2518
949	69320.30873
950	69306.30097
951	69283.23432
952	69269.54162
953	69252.7095
954	69232.93937
955	69225.44747
956	69205.24857
957	69182.83148
958	69168.95414
959	69151.30136
960	69136.03616
961	69115.11216
962	69094.84246
963	69085.91763
964	69070.87858
965	69058.86735
966	69040.01622
967	69035.12127
968	69022.64537
969	69015.24891
970	69003.10297
971	68993.35879
972	68991.02617
973	68977.45901
974	68964.1715
975	68962.06941
976	68960.35
977	68944.54678
978	68927.26172
979	68926.56182
980	68918.73959
981	68910.50943
982	68902.30087
983	68880.34049
984	68874.39883
985	68870.65856
986	68851.44642
987	68842.80367
988	68838.54005
989	68830.36744
990	68812.21741
991	68806.04453
992	68786.16102
993	68770.01825
994	68760.31316
995	68748.95287
996	68741.89314
997	68731.61788
998	68716.33974
999	68704.97924
